Sample Number	Number of Counts
1	3
2	12
3	12
4	11
5	6
6	15
7	20
8	8
9	8
10	11
11	10
12	7
13	12
14	9
15	16
16	11
17	14
18	13
19	11
20	16
21	7
22	13
23	11
24	13
25	18
26	10
27	12
28	15
29	16
30	10
31	9
32	8
33	13
34	10
35	12
36	10
37	8
38	8
39	16
40	8
41	11
42	9
43	8
44	14
45	7
46	7
47	11
48	15
49	15
50	13
51	8
52	16
53	17
54	15
55	18
56	6
57	10
58	14
59	10
60	10
61	8
62	13
63	2
64	9
65	9
66	6
67	5
68	9
69	13
70	16
71	17
72	7
73	8
74	14
75	6
76	13
77	12
78	16
79	11
80	7
81	19
82	9
83	20
84	13
85	13
86	13
87	16
88	12
89	8
90	11
91	13
92	10
93	11
94	9
95	12
96	10
97	8
98	9
99	12
100	12
101	15
102	12
103	11
104	10
105	9
106	15
107	2
108	17
109	12
110	10
111	16
112	5
113	13
114	12
115	16
116	9
117	10
118	10
119	8
120	7
121	14
122	9
123	12
124	4
125	11
126	9
127	5
128	8
129	12
130	19
131	11
132	12
133	8
134	15
135	12
136	4
137	8
138	10
139	11
140	11
141	16
142	14
143	8
144	9
145	17
146	6
147	5
148	11
149	7
150	8
151	17
152	12
153	8
154	6
155	16
156	12
157	12
158	9
159	11
160	9
161	8
162	11
163	10
164	10
165	11
166	13
167	15
168	16
169	9
170	6
171	17
172	13
173	5
174	10
175	12
176	12
177	11
178	4
179	11
180	7
181	9
182	10
183	10
184	9
185	10
186	14
187	10
